sheet_no,sheet_name,extracted_file,original_media,width_px,height_px,format
1,ACU1_IT,01_image9.png,image9.png,617,235,png
1,ACU1_IT,02_image14.png,image14.png,144,163,png
1,ACU1_IT,03_image4.png,image4.png,1066,613,png
1,ACU1_IT,04_image8.png,image8.png,963,667,png
1,ACU1_IT,05_image13.png,image13.png,447,415,png
1,ACU1_IT,06_image3.png,image3.png,125,87,png
1,ACU1_IT,07_image2.png,image2.png,273,81,png
1,ACU1_IT,08_image7.png,image7.png,133,106,png
1,ACU1_IT,09_image12.png,image12.png,135,160,png
1,ACU1_IT,10_image6.png,image6.png,410,166,png
1,ACU1_IT,11_image16.png,image16.png,1233,794,png
1,ACU1_IT,12_image11.png,image11.png,870,587,png
1,ACU1_IT,13_image5.png,image5.png,216,104,png
1,ACU1_IT,14_image10.png,image10.png,1113,728,png
1,ACU1_IT,15_image15.png,image15.png,1262,845,png
2,LIDAR_FRNT&REAR(Hummingbird),01_image17.png,image17.png,1097,447,png
2,LIDAR_FRNT&REAR(Hummingbird),02_image21.png,image21.png,608,487,png
2,LIDAR_FRNT&REAR(Hummingbird),03_image3.png,image3.png,125,87,png
2,LIDAR_FRNT&REAR(Hummingbird),04_image2.png,image2.png,273,81,png
2,LIDAR_FRNT&REAR(Hummingbird),05_image20.png,image20.png,512,872,png
2,LIDAR_FRNT&REAR(Hummingbird),06_image19.png,image19.png,1011,601,png
2,LIDAR_FRNT&REAR(Hummingbird),07_image18.png,image18.png,673,795,png
3,LIDAR_ROOF_FRNT&REAR(Falcon_K1),01_image22.png,image22.png,1508,500,png
3,LIDAR_ROOF_FRNT&REAR(Falcon_K1),02_image3.png,image3.png,125,87,png
3,LIDAR_ROOF_FRNT&REAR(Falcon_K1),03_image2.png,image2.png,273,81,png
3,LIDAR_ROOF_FRNT&REAR(Falcon_K1),04_image24.png,image24.png,615,577,png
3,LIDAR_ROOF_FRNT&REAR(Falcon_K1),05_image23.png,image23.png,1086,347,png
3,LIDAR_ROOF_FRNT&REAR(Falcon_K1),06_image18.png,image18.png,673,795,png
4,LIDAR_LH&RH,01_image25.png,image25.png,446,424,png
4,LIDAR_LH&RH,02_image29.png,image29.png,211,191,png
4,LIDAR_LH&RH,03_image3.png,image3.png,125,87,png
4,LIDAR_LH&RH,04_image2.png,image2.png,273,81,png
4,LIDAR_LH&RH,05_image28.png,image28.png,242,184,png
4,LIDAR_LH&RH,06_image27.png,image27.png,879,346,png
4,LIDAR_LH&RH,07_image26.png,image26.png,411,398,png
5,ACU2_NO,01_image35.png,image35.png,100,111,png
5,ACU2_NO,02_image40.png,image40.png,600,604,png
5,ACU2_NO,03_image45.png,image45.png,1331,519,png
5,ACU2_NO,04_image30.png,image30.png,971,544,png
5,ACU2_NO,05_image34.png,image34.png,56,65,png
5,ACU2_NO,06_image39.png,image39.png,92,100,png
5,ACU2_NO,07_image44.png,image44.png,1279,524,png
5,ACU2_NO,08_image3.png,image3.png,125,87,png
5,ACU2_NO,09_image43.png,image43.png,1254,781,png
5,ACU2_NO,10_image2.png,image2.png,273,81,png
5,ACU2_NO,11_image33.png,image33.png,91,101,png
5,ACU2_NO,12_image38.png,image38.png,155,111,png
5,ACU2_NO,13_image32.png,image32.png,570,251,png
5,ACU2_NO,14_image42.png,image42.png,987,246,png
5,ACU2_NO,15_image37.png,image37.png,1569,666,png
5,ACU2_NO,16_image31.png,image31.png,118,58,png
5,ACU2_NO,17_image36.png,image36.png,87,96,png
5,ACU2_NO,18_image41.png,image41.png,1219,779,png
